,x,y,label,state
2339,-8.187810339077686,2.057305939378501,0,CA
2342,6.891827586997124,-5.039717343457416,1,CA
2343,1.239331961768185,-0.37746723148407274,4,CA
2362,-4.100710028214547,-1.579800251416965,5,CA
2364,-2.408804548187629,-2.0986739999228234,7,CA
2376,3.8207163072899006,-4.326236251275761,5,NV
2378,4.635022751397977,-4.643909249770692,4,CA
2379,-3.1221142763304237,-1.2662495321911773,1,CA
2384,5.230660629288816,-6.401347863568856,7,CA
2385,6.020951721602502,-5.315290959934463,4,CA
2389,-10.11604778464375,0.11842596023044737,7,CA
2391,-5.8959456489277775,-0.2581049137532329,1,NV
2402,-1.6770631068412793,-3.4956928555227984,7,CA
2403,-1.9848692059894075,-1.811299340619315,4,CA
2404,3.3746636962627856,-4.039882458020994,7,NM
2418,-5.93456132388089,-2.755879460342701,7,CA
2419,-5.5069853801784685,-3.0649208434464907,7,CA
2425,-5.32172697059852,-0.8537009706171352,4,CA
2426,-6.582628439791619,-1.5731548571675529,7,CA
2427,-8.377061523578854,-1.015952668063493,7,CA
2428,-0.07066448988523337,-2.203846569268419,5,CA
2434,-14.41364937674057,0.7029712306453063,7,CA
2439,0.883773589257445,-5.165534844663072,7,CA
2446,-8.810057323047499,3.4069372674371476,1,CA
2447,-7.503099398300002,1.5771905324684155,1,CA
2463,5.1179707421727105,-4.488422732437879,4,CA
2464,-2.4768586368240704,-0.48751061036662796,7,NM
2470,4.8778296257049005,-3.698432587409517,4,CA
2479,5.513111848613035,-5.980578745008092,6,CA
2492,2.4586152403779034,0.45114898984770835,1,NC
2495,-2.88486268803291,-2.177349639840496,7,CA
2496,-4.445983695275186,-2.9662943766513252,7,CA
2506,2.737799473878026,-2.9333617662579954,6,NV
2519,-3.8513438545779954,-1.9816897132660947,4,NV
2521,7.611498900227589,-6.780429912006606,4,CA
2536,-4.472141917670737,-0.8221248669612515,1,NV
2538,-9.516790317412843,-0.2979612293847796,7,NC
2549,-10.108193871546362,2.1154621221494754,5,CA
2552,-3.6207890983156394,-2.9772373403356722,7,CA
2569,-4.308259993401281,-2.4303203522736725,7,CA
2577,-1.2831144943266573,-2.638669388643554,7,NC
2583,0.7998209577732898,-4.156984695158985,4,CA
2590,14.824700328598835,1.7728987578183713,2,NV
2591,-4.385763109869304,-1.3393915062134536,0,CA
2592,5.681028749955914,-4.483271651758546,5,CA
2594,-2.306686957720256,-3.040425782067549,7,CA
2602,0.6217737245528611,-3.7762328631143345,4,CA
2603,6.767017035548848,-6.752399059850359,7,CA
2605,-8.432090502359468,0.9242396546062555,1,CA
2607,12.227006620888094,-6.709831189568574,4,NC
2611,0.005513358881887529,-2.1108700175595265,1,CA
2616,-4.788182817641812,-0.49458121923109555,4,CA
2619,3.8799625269927893,-4.043195627910757,4,CA
2624,7.502147030142598,-6.039772721290731,0,CA
2639,2.452128839151691,-4.753541404637581,7,CA
2642,-12.418030834362137,2.0555244308131266,1,NV
2652,3.2886280151885776,-4.743847394365662,4,NM
2658,-5.846121221828982,-0.5677108415404091,4,AR
2660,-1.5831687762797413,-2.148784186017402,4,CA
2661,10.72585536524476,-8.33156863504117,7,CA
2684,-1.8932659738542206,-3.1571620681345296,4,CA
2696,4.634918228078542,-4.1677146131381795,4,CA
2704,0.14495185284656248,-3.6102491062508655,0,CA
2711,-13.878440228493144,1.6380474696568659,7,NC
2723,0.32319387016327356,-3.4282239560316503,7,CA
2725,-9.9736081791762,1.111183691449197,1,NC
2727,-2.087826019489226,-1.3075225146208915,5,CA
2750,-8.205127295179913,-0.3961332822354051,7,CA
2753,-2.4844058480459434,-3.6252375353595907,7,CA
2754,-0.07195599948376294,-4.830764662266678,7,CA
2756,-3.210020662392212,-0.847192903325276,5,NM
2758,-1.506014576826697,-3.1431168073871913,4,CA
2761,12.645367008789039,-7.209316066349678,4,CA
2791,-2.3291076280487077,-1.6278867286920378,6,CA
2793,9.076736632217745,-2.827872529535972,4,CA
2808,8.177649963729102,-7.104085035118763,7,CA
2811,-12.423054162928173,1.8974342849722912,1,CA
2813,0.5229127502138048,-3.0926452218969325,6,CA
2824,-0.8891278408257102,-0.329454453695135,4,CA
2825,2.304391991450682,-5.023315853154181,7,CA
2837,-2.8664795567489927,1.1928165702276776,4,NV
2840,4.66637578168434,-4.76102351435626,6,CA
2849,6.3345968988538335,-5.421027232713337,0,CA
2855,7.469929375884977,-4.733693471658459,1,AR
2858,1.4387856964523635,-3.974745899197205,4,CA
2872,-8.28892638964502,-0.2822137963439861,7,CA
2886,-8.898574597253157,2.42523852777268,1,NM
2892,1.3929326708096075,-3.9261640506588953,0,NV
2894,2.434529785084966,-4.36180352183453,4,CA
2902,-3.8184094858542945,-0.7294004490919138,1,CA
2910,-4.200139833974804,-2.849274947282148,7,CA
2911,-6.645471182652489,1.4707496209998647,1,CA
2914,0.4487614136414266,-2.801038655090559,1,AR
2920,-2.412006389747984,-2.4178416810131025,4,CA
2924,1.701154266657946,-4.6106316279908075,4,CA
2949,-1.1059608405258041,-3.807548407327863,0,CA
2952,9.16730257341117,-6.614929596276019,6,NC
2953,3.528666061266681,-4.251558030649097,0,AR
2955,5.140456270371109,-4.90663272877943,4,CA
2957,-3.4363047294693687,-2.161268890125948,4,CA
2967,0.2506663445421626,-2.171319628686421,7,CA
2969,-1.0135599600372096,-2.264589450881265,5,CA
2970,-10.190307208230916,1.599447052285311,1,NV
2973,12.04098134484484,-7.792925517051628,0,NV
2977,-4.412571399637908,-0.9587323969317482,0,NV
2980,-7.082905392999368,-0.6567008328667782,7,CA
2987,-10.339133939645249,-0.18584986222879551,7,AR
2993,-2.6087802418180144,-2.4825508882790612,7,CA
2996,2.6243374782489144,-5.148393138751934,6,NC
2998,-7.010404173503289,0.3917606378982869,1,CA
3001,0.509124664728754,-2.6512985116972634,4,CA
3009,-2.8508792598009456,-2.2367074391901,4,AR
3018,3.187061514705575,-5.020604656356709,4,CA
3023,-10.75168278268704,1.3245558760495226,0,CA
3029,-4.852792069352774,-1.1066649231958776,7,CA
3032,-3.238740833881905,-1.2698507137503863,5,CA
3037,5.557458610728308,-4.784748533714666,4,NC
3040,-1.7840081516575164,-1.4339533022131805,5,CA
3048,-0.9521973440918797,-3.6724485617481686,7,CA
3058,5.297984697143811,-6.628160421595996,7,CA
